Total_size,LotArea,Neighborhood,OverallQual,Age_at_sale,YrSold,log_sales
1984,9600,NAmes,5,2,2009,11.898187865760873
2424,10289,NAmes,5,42,2007,11.957611286231675
2969,12243,NWAmes,5,36,2007,12.072541252905651
3598,10800,OldTown,5,36,2006,11.982929094215963
1431,1526,MeadowV,4,7,2009,11.362102575235644
1640,2665,MeadowV,5,32,2008,11.652687407345388
2386,9490,NAmes,6,56,2006,11.79810440720389
1885,15578,Gilbert,6,0,2006,12.059803326028716
2483,7931,NAmes,5,48,2008,11.951180395901384
1159,5784,OldTown,5,13,2009,11.421906066583059
1215,7879,IDOTRR,4,59,2009,10.460242108190519
5005,12692,NoRidge,8,14,2007,12.971540487669746
2389,9120,BrkSide,7,58,2008,12.122691036591123
1637,7800,Sawyer,5,5,2009,11.77528972943772
1599,7535,NAmes,5,22,2007,11.695247021764184
1838,1890,BrDale,6,34,2007,11.635143097694478
2771,9803,Somerst,7,3,2008,12.33138283649562
2469,9170,Edwards,5,42,2007,11.84939770159144
3532,15602,Crawfor,7,13,2010,12.57418196709457
2514,2308,NPkVill,6,35,2009,11.898187865760873
2360,7596,OldTown,5,57,2009,11.732060994886899
2762,9554,SawyerW,8,12,2006,12.2783933071098
1921,7862,Somerst,6,0,2009,12.246734627249063
1879,9600,OldTown,7,3,2008,11.9891596439666
2302,9600,NAmes,5,50,2009,11.732060994886899
2481,14559,NAmes,5,9,2009,12.01309450854769
1842,6792,NridgHt,7,0,2006,12.219309648562168
2183,9100,NAmes,5,48,2006,11.77452020265869
1900,9187,Mitchel,6,24,2007,11.805595078933049
989,10594,Crawfor,5,57,2007,11.477298287327077
4356,12220,NridgHt,10,0,2009,12.906346868281233
2702,10448,NWAmes,6,37,2009,11.970350312009105
3233,10208,NoRidge,7,12,2009,12.487485104968359
3048,9531,CollgCr,6,9,2007,12.259613412458204
2362,10918,Crawfor,7,5,2009,12.363076394339839
1294,10800,OldTown,4,8,2008,11.573550086786664
2357,11988,NAmes,6,50,2007,11.918390573078392
2483,5000,BrkSide,6,56,2006,11.976659481202368
7820,40094,Edwards,10,-1,2007,12.126758838810447
3951,11787,NoRidge,7,10,2007,12.662706040212738
1719,7500,Somerst,7,1,2006,12.078239274020289
1557,13300,NAmes,5,7,2007,11.790557201568507
4901,14948,NridgHt,9,0,2008,13.008659261632127
953,9098,Edwards,4,5,2007,11.362102575235644
4218,32668,Crawfor,6,32,2007,12.209187788430318
2892,10200,Timber,6,19,2008,12.072541252905651
1864,6155,BrkSide,6,9,2008,11.759785542901755
1219,7200,NAmes,5,3,2010,11.585246126549855
334,5000,BrkSide,1,57,2007,10.578979797857352
1817,9056,Gilbert,8,2,2006,12.089538829274222
2316,7000,Edwards,5,17,2008,11.585246126549855
2251,8924,CollgCr,7,9,2008,12.144197241812087
2040,12735,NAmes,4,36,2008,11.619535200028487
2168,11553,Sawyer,5,38,2006,11.970350312009105
3629,11423,CollgCr,8,8,2010,12.513557345278134
3863,14601,Timber,9,3,2009,12.66032791780777
2933,11000,NoRidge,8,7,2007,12.421184025147118
3534,10140,NWAmes,7,10,2009,12.270220465353926
1857,4058,NAmes,7,9,2007,11.79810440720389
2476,17104,Gilbert,7,0,2006,12.09884928474215
4173,13837,NWAmes,7,18,2006,12.341477282536376
2375,8737,BrkSide,6,57,2007,12.254862809699606
2011,7244,Mitchel,5,37,2007,11.771436160121729
2370,8235,OldTown,5,13,2008,11.736069016284437
2709,9375,Somerst,7,5,2009,12.479909311159902
2068,4043,NPkVill,6,31,2008,11.84939770159144
1524,6000,OldTown,5,51,2008,11.630708500626612
2625,11146,NridgHt,8,3,2009,12.450977688625896
1646,8777,Edwards,4,6,2009,11.589886506106357
3783,10625,NridgHt,7,4,2008,12.556729517143344
1328,6380,BrkSide,5,56,2006,11.635143097694478
2286,14850,NAmes,5,49,2006,11.856515169360305
2543,11040,IDOTRR,4,56,2006,11.589886506106357
2456,21872,Gilbert,7,11,2008,12.072541252905651
1977,3196,Blmngtn,7,2,2006,12.363076394339839
3222,11341,Sawyer,5,14,2010,11.70766954176274
3001,10010,Mitchel,5,31,2006,12.043553716032399
1286,13907,Edwards,5,39,2008,11.589886506106357
2070,21780,Edwards,6,58,2008,12.128111104060462
3613,13346,NoRidge,7,6,2006,12.498742259492994
1863,6858,SWISU,6,60,2010,11.759785542901755
3160,11198,StoneBr,9,1,2008,12.691580461311874
2069,10171,NridgHt,7,6,2010,12.273731294003989
4185,12327,SawyerW,8,0,2009,12.66539442642905
2486,7032,NAmes,5,27,2006,11.820116003810051
2535,13101,NAmes,5,43,2008,11.867798786962332
1566,7332,NAmes,6,47,2006,11.695247021764184
2342,13159,Timber,7,0,2009,12.321630986164447
1830,9967,Gilbert,7,7,2007,12.043553716032399
1746,10500,NAmes,5,2,2007,11.842229212112828
1994,8480,NAmes,5,58,2008,11.682668239557323
1693,6292,SWISU,7,59,2009,11.884489021402711
2763,11777,Sawyer,5,40,2006,12.010665849187564
1932,3604,Somerst,7,1,2008,11.891361900690473
2147,12150,OldTown,5,54,2008,11.786762130599957
2814,14585,NAmes,6,20,2007,12.111212364506214
3432,12704,NridgHt,8,0,2009,12.442302200392747
1632,11841,Edwards,6,17,2007,11.682668239557323
3655,13500,OldTown,10,8,2008,12.691580461311874
1813,6120,BrkSide,4,14,2009,11.79810440720389
4368,11443,Timber,8,0,2006,12.820987977820545
1929,10267,BrkSide,6,8,2008,11.77528972943772
2060,8740,Sawyer,5,27,2009,11.827736204810263
3249,25095,ClearCr,5,6,2009,11.870599909242044
1087,9100,BrkSide,5,48,2008,11.283512300642423
2592,8320,CollgCr,7,4,2008,12.132964173709535
4476,13478,NridgHt,10,1,2009,13.021326833226556
2448,6600,Mitchel,5,5,2008,11.835008964139341
1953,4435,CollgCr,6,6,2009,11.84939770159144
1204,7990,CollgCr,5,33,2008,11.608235644774552
4006,11302,StoneBr,8,0,2006,12.672946381766982
1584,3600,OldTown,6,13,2006,11.648365035864053
2050,3922,Blmngtn,7,0,2007,12.17664898415669
3698,12984,Crawfor,5,29,2006,12.289954129510877
2701,1950,Blueste,6,28,2008,11.925035115797062
3186,10927,NridgHt,8,1,2006,12.524526376648708
1919,9000,IDOTRR,6,57,2007,11.856515169360305
3210,10041,SawyerW,8,14,2006,12.301382825334498
1680,3182,Somerst,7,5,2010,11.925035115797062
2946,12803,CollgCr,7,6,2008,12.30591798049989
2926,13600,NAmes,7,19,2009,12.230765258120545
2348,12464,CollgCr,5,13,2009,11.931635799828413
2841,7800,Edwards,5,4,2006,12.323855681186558
4002,12168,Crawfor,8,9,2007,12.791356180214175
2193,7943,Sawyer,4,46,2007,11.682668239557323
3793,11050,CollgCr,9,9,2009,12.65395846952229
2201,10395,NWAmes,6,29,2007,11.904967552746252
3393,11885,CollgCr,8,8,2009,12.474189562487116
1326,8402,Mitchel,5,0,2007,11.898187865760873
1260,1491,MeadowV,4,38,2010,11.231887935237117
2297,8800,NAmes,6,47,2010,11.831379196088763
2359,7861,Gilbert,6,3,2006,12.118333731222167
1360,7227,NAmes,6,54,2008,11.566466231898259
2650,11694,NridgHt,9,0,2007,12.659734090733718
3882,12244,Timber,8,5,2008,12.628067055589549
905,8248,Edwards,3,58,2008,11.112447898373103
4376,10800,NWAmes,6,11,2008,12.388394202324129
2024,7064,Sawyer,5,32,2009,11.813030057420567
2372,2117,Somerst,6,7,2007,12.034691028774553
2521,10400,NWAmes,6,34,2006,12.014609430818936
1556,10000,NAmes,6,48,2010,11.982929094215963
1708,12342,NAmes,5,29,2007,11.848683160653573
2690,9600,NAmes,6,38,2010,11.938193200374572
3234,11606,NAmes,5,38,2007,11.813030057420567
2830,9020,NAmes,6,44,2008,12.034691028774553
1990,9000,OldTown,5,15,2006,11.728036844587175
2205,4590,NridgHt,8,1,2007,12.25247901834433
2777,11900,NWAmes,7,32,2009,11.320553572322773
2264,9250,NAmes,5,2,2007,11.845102777308561
2688,6979,OldTown,6,30,2010,11.877568578558138
3136,10896,SWISU,6,12,2007,12.206072645530174
800,6120,BrkSide,2,59,2009,11.002099841204238
1643,6000,OldTown,5,55,2009,11.440354772135393
796,8777,Edwards,5,58,2008,11.350406535472453
3369,3982,Blmngtn,8,0,2006,12.485827127509431
3324,12677,NridgHt,8,4,2008,12.520883385370206
3317,7050,Somerst,7,6,2007,12.328290278254423
4652,13860,NAmes,8,14,2009,12.751299696013497
2862,10793,NWAmes,5,38,2007,11.931635799828413
3365,9187,Somerst,9,0,2009,12.823628446539173
1874,10530,NAmes,6,36,2007,11.872346634576987
1468,7200,NAmes,5,58,2008,11.495779306135258
2089,10452,Edwards,6,55,2008,11.951180395901384
2281,7700,NAmes,6,44,2010,11.951180395901384
1260,1936,MeadowV,4,37,2007,11.344506813345266
2227,8125,Somerst,7,1,2008,12.235388699864227
1806,9084,Edwards,4,59,2009,11.589886506106357
2228,8750,CollgCr,7,13,2009,12.160028707028767
1685,10320,IDOTRR,6,13,2008,11.813030057420567
4648,10437,NoRidge,8,13,2008,12.765688433465597
1356,1680,BrDale,6,39,2010,11.385092093460344
2171,10007,NAmes,5,2,2008,11.887931365593685
1772,7200,Crawfor,7,8,2008,11.911701584927597
1788,17503,NAmes,6,60,2010,11.487607656985938
2603,9937,Edwards,5,10,2009,12.025749091398891
2485,12384,NWAmes,7,31,2007,12.195517131590657
4700,46589,NoRidge,8,4,2009,12.904207367601158
1968,13560,NAmes,6,41,2009,11.608235644774552
2869,10012,Edwards,4,36,2008,11.831379196088763
4952,20896,Somerst,8,0,2006,12.955127458028414
2440,11194,Gilbert,8,6,2006,12.348006141418841
3886,18450,NAmes,6,28,2007,11.76756768334381
3392,8125,SawyerW,6,10,2008,12.173032791451973
3001,14175,Sawyer,5,19,2006,12.031719258385396
1432,11600,Crawfor,4,56,2006,11.831379196088763
2209,8633,CollgCr,6,4,2009,12.063932878369052
2220,6629,Edwards,6,59,2009,11.54829260880752
2521,11250,Veenker,6,29,2006,12.013700752882718
3441,14442,Crawfor,6,3,2007,12.458774999085929
2412,9200,NAmes,6,43,2008,11.84939770159144
2192,2289,NPkVill,6,31,2009,11.908340237224891
2553,9600,OldTown,4,56,2006,11.37366339763672
1032,9022,OldTown,5,3,2009,11.603679828238693
2880,11844,StoneBr,8,1,2009,12.827992316801751
2387,9945,Sawyer,5,46,2007,11.763684183317412
1849,8012,SawyerW,6,30,2010,11.870599909242044
1983,4500,SWISU,5,9,2009,11.979385322467598
2725,2887,ClearCr,6,11,2008,12.061046873479915
3429,11248,CollgCr,9,5,2007,12.560244459250788
2325,16770,NoRidge,7,12,2010,12.30591798049989
3677,5062,StoneBr,7,23,2007,12.24288661865289
2339,10207,Somerst,7,0,2007,12.336552511980964
1821,5105,Somerst,7,3,2007,11.910358401381128
2931,8089,StoneBr,8,0,2007,12.8790171187726
1842,7577,NridgHt,6,1,2007,12.17921519136029
1965,4426,CollgCr,6,4,2008,11.856515169360305
6603,21535,NoRidge,10,12,2007,13.534473028231162
4112,26178,Timber,7,16,2006,12.721885810807203
1399,5400,OldTown,5,38,2006,11.594321103174222
2115,6120,BrkSide,5,59,2009,11.86005499606543
2708,13811,Timber,6,19,2006,12.078239274020289
1437,6000,BrkSide,5,56,2006,11.396391648714276
2217,6420,Edwards,5,54,2006,11.72399643505017
1900,8450,Sawyer,5,1,2010,11.83862560460953
1937,4282,Somerst,7,4,2008,12.185869938212655
3839,14331,Timber,8,4,2006,12.652359748158593
1692,9600,NWAmes,7,37,2006,11.84939770159144
3242,12438,StoneBr,8,0,2006,12.799175708864519
2484,7630,OldTown,5,14,2010,11.84939770159144
2802,8400,CollgCr,7,5,2010,12.269047444691562
1092,5600,IDOTRR,4,60,2010,10.915088464214607
3782,115149,ClearCr,7,5,2007,12.618182296357007
2737,6240,NridgHt,8,3,2009,12.445089546000673
1856,9018,Gilbert,7,0,2007,12.09815330331068
1312,7162,Sawyer,5,42,2008,11.607326140391713
729,4130,BrkSide,3,5,2008,10.858998997563564
1562,8712,IDOTRR,4,60,2010,11.540307141711446
2467,4671,StoneBr,8,19,2008,12.14950229404178
2325,9873,BrkSide,4,36,2006,11.76756768334381
2487,13517,Sawyer,6,5,2010,11.779128505744886
1828,10140,NWAmes,6,35,2009,12.013700752882718
3258,10800,OldTown,7,9,2007,11.979799201207037
2701,10000,NWAmes,5,8,2008,11.964001084330445
4574,10542,NoRidge,7,14,2008,12.739637756265655
1794,9920,CollgCr,5,37,2006,11.763684183317412
3454,6563,StoneBr,8,21,2006,12.524526376648708
1930,4426,CollgCr,6,6,2010,11.870599909242044
1518,8120,NAmes,4,39,2009,11.732060994886899
2018,8172,Edwards,4,36,2008,11.813030057420567
3700,13286,Edwards,9,1,2009,12.676076274775909
2138,6960,NAmes,4,39,2009,11.699405031912846
3028,21695,Crawfor,6,2,2009,12.310432660854417
2588,7314,CollgCr,7,2,2009,12.178187442040638
2664,11475,NAmes,5,51,2009,11.608235644774552
1539,6240,IDOTRR,4,59,2009,11.542484267211773
3404,5389,StoneBr,8,14,2010,12.373703486914124
2370,9590,Timber,7,4,2007,12.141534124392603
2824,11404,CollgCr,7,9,2008,12.312682380588432
2002,10000,Sawyer,5,26,2009,11.786001385032646
1248,8978,Sawyer,5,39,2007,11.589886506106357
2478,10800,OldTown,7,36,2006,12.0015054797889
1440,8544,NAmes,3,56,2006,11.44571671527678
2601,10463,Gilbert,8,1,2006,12.387977448827787
2400,10800,Edwards,5,21,2009,12.095141084822892
2300,9313,CollgCr,7,5,2009,12.154779351142624
1792,9600,OldTown,5,5,2007,11.790557201568507
2032,6768,Sawyer,6,12,2008,11.863582336583399
1888,8450,SawyerW,7,6,2007,12.095141084822892
2388,12886,Sawyer,5,10,2009,12.072541252905651
2532,5395,StoneBr,8,15,2008,12.100712129872347
4201,8963,NWAmes,8,12,2008,12.610870864650634
3110,8795,Gilbert,7,9,2009,12.371587084007746
3504,11700,OldTown,7,6,2009,12.491172637278908
3166,10593,NoRidge,7,14,2010,12.46997418931655
1769,8405,Edwards,4,59,2009,11.49272275765271
1140,8800,OldTown,4,6,2010,11.477298287327077
1720,7750,Gilbert,7,4,2007,11.99535161421452
3270,9236,CollgCr,6,9,2006,12.287652632522597
2976,10240,NridgHt,8,1,2006,12.526342907575106
2377,7930,NAmes,6,4,2009,11.957611286231675
2292,3230,Somerst,6,10,2009,12.058152515453552
2366,10769,CollgCr,8,2,2009,12.26434155365415
2264,11616,Sawyer,6,32,2010,11.976030352524807
2490,2280,Somerst,7,9,2008,12.097373228606832
3403,12257,NoRidge,8,12,2007,12.577636201962656
1776,9100,NAmes,6,50,2009,11.755871643580617
2146,6911,BrkSide,5,59,2009,11.512925464970229
2185,8640,Somerst,7,1,2010,12.279323107269766
4384,9430,NoRidge,8,10,2009,12.727838209334498
3469,9549,Veenker,8,10,2006,12.506177237980511
2098,14587,Somerst,9,0,2008,12.484204257170104
2604,10421,NWAmes,7,22,2010,12.188417710291453
2833,12508,Mitchel,6,23,2008,11.982929094215963
2344,9100,CollgCr,7,1,2006,12.28690119819279
5536,53504,StoneBr,8,7,2010,13.195613839143922
2119,7252,Sawyer,5,27,2009,11.812289042195847
2452,8877,Edwards,4,55,2006,11.532728092266408
2338,7819,Edwards,6,34,2010,11.580584113444043
1643,10150,NAmes,5,49,2007,11.648330101976432
2868,14226,NridgHt,8,1,2007,12.886641043883259
2482,4500,Mitchel,6,11,2009,11.99535161421452
2499,11210,CollgCr,7,0,2006,12.308177868467327
2096,13350,Sawyer,5,32,2006,11.867097278690842
2650,8400,SawyerW,5,30,2007,11.877568578558138
2483,10530,Mitchel,6,29,2006,11.813030057420567
1655,7875,Gilbert,7,11,2007,12.078239274020289
2474,7153,SawyerW,6,14,2006,12.077670930725649
2035,16285,CollgCr,7,7,2009,12.139398512262181
2809,9101,Mitchel,5,31,2009,12.016726473799254
1484,6300,OldTown,6,7,2008,11.759785542901755
2680,9790,NWAmes,6,42,2009,11.992260421644849
2754,10800,OldTown,5,60,2010,11.842229212112828
3358,10142,SawyerW,7,6,2010,12.358793732547838
1182,6000,OldTown,4,8,2008,11.588960151246226
3099,12205,ClearCr,6,0,2007,12.141534124392603
1558,3182,Blmngtn,7,3,2009,11.984178313616395
2140,11333,Mitchel,6,31,2007,11.896826395162552
3330,9920,NoRidge,7,10,2007,12.50539915757667
1970,9158,Somerst,8,0,2007,12.323855681186558
2304,10832,Gilbert,7,12,2008,12.178187442040638
2040,8400,SawyerW,6,29,2010,12.049418835484797
1813,8197,Sawyer,6,30,2007,11.874090314181814
1583,7677,NAmes,5,55,2008,11.608235644774552
3960,13518,NridgHt,9,0,2009,13.091904169919621
2577,7200,SWISU,5,57,2007,12.072541252905651
2753,12798,ClearCr,6,11,2008,12.206072645530174
1833,4800,IDOTRR,4,17,2007,11.607326140391713
2514,8199,CollgCr,7,3,2008,12.14950229404178
3842,13891,NridgHt,9,0,2009,13.275827535915461
2226,9000,NAmes,5,52,2006,11.678439903447801
1982,12274,Somerst,7,0,2008,12.33569641332368
2244,9750,NAmes,5,39,2006,11.816726919301892
3413,21384,BrkSide,5,5,2009,12.31716669303576
2214,13400,NAmes,5,40,2006,11.982616545377663
2498,8100,OldTown,5,44,2009,11.571194373094205
2833,10140,NWAmes,6,7,2006,12.106252310247962
1930,4438,CollgCr,6,4,2008,11.881034786534624
1548,8712,IDOTRR,5,58,2010,10.932981961904135
2351,9750,NAmes,6,49,2007,11.969717200243734
1530,8248,Edwards,5,56,2006,11.661345470088502
2259,12137,CollgCr,7,12,2010,12.323411137947407
1769,11425,NAmes,5,52,2006,11.827736204810263
3764,13265,Mitchel,8,6,2008,12.509874099861838
1996,8816,ClearCr,6,39,2010,11.951180395901384
2575,6371,NridgHt,7,0,2010,12.319401330837177
2235,7226,CollgCr,7,5,2008,12.117241431823558
1512,6000,OldTown,4,56,2009,11.440354772135393
2166,12394,Gilbert,7,4,2007,12.323855681186558
1729,9900,SWISU,6,59,2009,11.845819880243557
2265,11216,Somerst,8,0,2006,12.3570755190667
4940,14803,NridgHt,10,0,2008,12.86099861326992
1568,6130,BrkSide,5,58,2008,11.603679828238693
1981,8529,SawyerW,7,8,2009,12.14950229404178
3677,28698,ClearCr,5,42,2009,12.128111104060462
1623,2544,Somerst,7,1,2006,11.900905258737373
2890,11900,NAmes,6,51,2008,12.01974306733868
1600,3180,Somerst,7,1,2006,11.925035115797062
2925,9548,CollgCr,7,7,2010,12.375815420117268
2529,10004,NAmes,6,45,2009,12.025749091398891
2172,7875,NAmes,5,47,2008,11.8490404949436
1945,9600,Sawyer,4,15,2010,11.759785542901755
2709,8100,OldTown,5,34,2007,11.941455846009388
1581,1680,BrDale,6,35,2008,11.512925464970229
1451,9525,CollgCr,5,2,2008,11.877568578558138
1792,11767,Edwards,5,13,2008,11.779128505744886
2038,12155,SWISU,6,58,2008,11.84939770159144
2225,10440,OldTown,5,6,2008,11.967180737247824
2506,9020,NAmes,6,42,2008,12.071969661006694
1800,8000,NAmes,5,46,2007,11.856515169360305
2136,12665,OldTown,5,58,2008,11.94405831982697
3702,16647,Sawyer,5,26,2007,12.049418835484797
2713,9317,SawyerW,7,16,2009,12.269047444691562
1662,15523,CollgCr,5,37,2009,11.801856756822442
2718,45600,ClearCr,6,11,2008,12.388394202324129
2367,9600,Veenker,6,13,2007,12.138863895836725
1927,4435,CollgCr,6,4,2007,11.786762130599957
1856,3196,Blmngtn,8,3,2006,12.2783933071098
2250,7128,Crawfor,7,57,2007,12.007621706806335
2654,12095,NAmes,6,45,2009,11.970350312009105
3624,17920,Sawyer,5,32,2006,12.043553716032399
1959,6897,Sawyer,5,0,2010,11.751942365440728
2542,10970,CollgCr,6,30,2008,11.898187865760873
1824,8125,Gilbert,6,14,2009,12.066810578196666
1849,10400,NWAmes,7,33,2009,11.931635799828413
3892,11029,NWAmes,6,22,2006,12.429216196844383
1642,7642,Crawfor,7,9,2007,12.154516158615772
2384,11625,Sawyer,5,45,2010,11.786762130599957
1915,9672,SawyerW,6,25,2010,11.931635799828413
2968,7931,NAmes,5,50,2009,11.794337924408413
1901,8640,Somerst,7,0,2008,12.431533509799543
2732,8750,NAmes,5,39,2009,11.908340237224891
2516,10656,Timber,8,0,2007,12.424806488355683
2596,6970,Sawyer,4,46,2007,11.76756768334381
2939,14762,Gilbert,5,56,2006,12.037653993905211
3273,9938,SawyerW,7,16,2010,12.371587084007746
1202,6600,NAmes,5,47,2009,11.603679828238693
2710,8750,CollgCr,6,12,2010,12.20856952572876
1324,8892,NAmes,5,12,2008,11.661345470088502
1699,12144,NAmes,5,59,2009,11.79810440720389
1331,5720,OldTown,5,59,2009,11.104957226643945
3224,9000,Somerst,8,0,2007,12.623061104072981
2321,25286,Mitchel,4,44,2007,11.792449349720545
4132,8834,NridgHt,9,4,2009,12.765688433465597
2630,11782,Sawyer,5,15,2010,11.904967552746252
1846,7000,CollgCr,5,4,2009,11.824079893607152
2520,7024,Edwards,5,1,2007,11.964001084330445
3019,13758,Timber,7,16,2007,12.141534124392603
1982,9636,Gilbert,6,16,2009,12.089538829274222
2189,6204,SWISU,4,56,2006,11.682668239557323
1612,7150,NAmes,5,42,2009,11.512925464970229
3453,5119,Somerst,9,8,2008,12.703509032177148
2828,8393,NAmes,5,1,2006,11.884489021402711
1693,16466,Edwards,5,53,2008,11.816726919301892
4012,15865,NAmes,8,37,2007,12.498742259492994
3034,12160,NAmes,6,56,2009,11.915051671812877
1500,8064,NAmes,5,1,2007,11.719126295554126
2849,11184,Sawyer,6,31,2009,12.058152515453552
1995,8414,Sawyer,6,3,2006,11.947949375319936
2801,13284,Sawyer,5,54,2008,12.013700752882718
1935,7018,SawyerW,5,30,2009,11.685684782260491
2679,7056,NAmes,6,45,2008,11.84939770159144
1563,8765,IDOTRR,4,56,2006,11.575900264131617
2768,7018,SawyerW,5,30,2009,11.870271183889114
5372,12919,NridgHt,9,0,2010,13.323926946863102
1989,6993,Sawyer,5,12,2006,11.813030057420567
1864,7340,NAmes,4,36,2007,11.608235644774552
2922,8712,NAmes,5,9,2009,11.938193200374572
1902,7875,Gilbert,7,3,2006,12.100712129872347
2360,14859,Gilbert,7,0,2006,12.388394202324129
1789,6173,Sawyer,5,40,2007,11.740061037553975
1987,9920,NAmes,5,56,2010,11.759785542901755
2564,13501,Somerst,8,1,2007,12.449018824140563
2460,11500,Crawfor,7,19,2006,12.429216196844383
2011,8885,Mitchel,5,23,2006,11.782952602183288
1874,12589,Gilbert,6,4,2009,12.066810578196666
3197,11600,NAmes,5,50,2010,11.946654038351252
1716,9286,CollgCr,5,20,2009,11.874090314181814
1954,6120,BrkSide,5,56,2006,11.385092093460344
3157,6270,Crawfor,5,57,2007,11.884489021402711
2046,3000,Somerst,6,0,2009,12.065274916913605
1378,2001,MeadowV,4,37,2007,11.225243392518447
838,9000,IDOTRR,2,56,2006,10.47194980911048
2572,17140,Edwards,4,53,2009,11.813030057420567
3642,13125,SawyerW,7,16,2007,12.380025952653611
2954,11029,NAmes,6,6,2008,12.081076155355488
3006,8462,SawyerW,6,13,2007,12.211060187041213
3284,8777,Edwards,5,5,2008,11.890676734510876
1741,10237,Gilbert,6,0,2006,12.043494890772815
3156,8012,SawyerW,6,14,2008,12.170445467887022
3984,10240,NWAmes,6,26,2006,12.24288661865289
2526,15611,NWAmes,5,31,2008,12.072541252905651
3030,11999,NridgHt,8,3,2007,12.560244459250788
3016,9900,NWAmes,7,40,2008,12.078239274020289
2310,11838,CollgCr,8,8,2009,12.373703486914124
2878,13006,Gilbert,7,9,2006,12.310432660854417
2092,8925,Timber,8,2,2009,12.211060187041213
2158,9100,NAmes,5,44,2009,11.67419361256635
2693,11670,Somerst,9,1,2007,12.676076274775909
2090,8487,CollgCr,7,5,2009,12.154779351142624
2999,27650,NAmes,7,1,2008,12.396693005138824
1275,5825,BrkSide,4,53,2006,11.288531131754366
2588,10083,SawyerW,7,6,2009,12.127570417375216
3001,9675,Somerst,7,4,2009,12.441144767709657
3294,8760,CollgCr,7,0,2006,12.38755635142507
2752,24090,ClearCr,7,60,2010,12.406561506279576
3634,12640,Mitchel,6,30,2006,11.924372644755941
3222,8755,Gilbert,7,10,2009,12.273731294003989
2880,7711,Edwards,4,30,2007,11.918390573078392
2208,25000,Mitchel,5,40,2007,11.870599909242044
2334,14375,Timber,6,51,2009,11.831379196088763
3293,8820,OldTown,5,13,2009,11.73526869611367
2982,8163,NAmes,5,47,2006,11.870599909242044
3737,14536,Timber,8,4,2007,12.506177237980511
2250,14006,CollgCr,7,4,2006,12.167851432709975
3039,9360,NWAmes,6,4,2010,12.193493863323313
2131,7200,NAmes,5,5,2007,11.76756768334381
1906,7800,SawyerW,5,41,2006,11.694413341015606
1824,7200,CollgCr,5,6,2009,11.804848531679264
3253,11075,Mitchel,5,39,2008,12.05524975579559
1925,9400,Edwards,6,31,2006,11.755871643580617
2934,7136,Crawfor,6,57,2007,11.884489021402711
1976,1300,Blueste,6,29,2009,11.728036844587175
2050,7420,Sawyer,5,45,2007,11.790557201568507
2567,8450,CollgCr,7,4,2007,12.128111104060462
2504,2572,Somerst,7,11,2010,11.951180395901384
1554,7207,BrkSide,5,2,2010,11.665646551987892
4387,12227,NWAmes,6,13,2008,12.513557345278134
2544,2308,NPkVill,6,31,2007,11.951180395901384
2502,11923,CollgCr,9,2,2009,12.384218830913648
3028,11316,Timber,7,7,2010,12.277928082630602
1877,10237,Gilbert,6,0,2007,12.09458226949681
1992,9600,Crawfor,5,59,2009,11.982929094215963
2260,7390,NAmes,5,53,2008,11.813030057420567
968,5925,OldTown,3,59,2009,10.542706391070517
1872,10382,NAmes,6,48,2006,11.84939770159144
1192,10800,NAmes,4,56,2006,11.813030057420567
2667,2268,NridgHt,7,5,2009,12.061046873479915
